maHocPhan,tenHocPhan,soTinChi
QP010,Giáo dục quốc phòng và An ninh 1 (*),2
QP011,Giáo dục quốc phòng và An ninh 2 (*),2
QP012,Giáo dục quốc phòng và An ninh 3 (*),2
QP013,Giáo dục quốc phòng và An ninh 4 (*),2
TC100,Giáo dục thể chất 1+2+3 (*),3
XH023,Anh văn căn bản 1 (*),4
XH024,Anh văn căn bản 2 (*),3
XH025,Anh văn căn bản 3 (*),3
XH031,Anh văn tăng cường 1 (*),4
XH032,Anh văn tăng cường 2 (*),3
XH033,Anh văn tăng cường 3 (*),3
FL001,Pháp văn căn bản 1 (*),4
FL002,Pháp văn căn bản 2 (*),3
FL003,Pháp văn căn bản 3 (*),3
FL007,Pháp văn tăng cường 1 (*),4
FL008,Pháp văn tăng cường 2 (*),3
FL009,Pháp văn tăng cường 3 (*),3
TN033,Tin học căn bản (*),1
TN034,TT. Tin học căn bản (*),2
ML014,Triết học Mác - Lênin,3
ML016,Kinh tế chính trị Mác - Lênin,2
ML018,Chủ nghĩa xã hội khoa học,2
ML019,Lịch sử Đảng Cộng sản Việt Nam,2
ML021,Tư tưởng Hồ Chí Minh,2
KL001,Pháp luật đại cương,2
TN010,Xác suất thống kê,3
KT105,Toán kinh tế 1,3
KT022,Kỹ năng giao tiếp,2
XH014,Văn bản và lưu trữ học đại cương,2
XH028,Xã hội học đại cương,2
KN002,Đổi mới sáng tạo và khởi nghiệp,2
KT101,Kinh tế vi mô 1,3
KT102,Kinh tế vĩ mô 1,3
KT108,Nguyên lý thống kê kinh tế,3
KT126,Phương pháp nghiên cứu trong Kế toán - Kiểm toán,2
KT106,Nguyên lý kế toán,3
KT119,Phương pháp tư duy và kỹ năng giải quyết vấn đề,2
KL369,Luật kinh tế,2
KT339,Kế toán quản trị 1,3
KT341,Kế toán tài chính 1,3
KT376,Kiểm toán 1,3
KT370,Hệ thống thông tin kế toán 1,3
KT130,Chuẩn mực kế toán,3
KT111,Tài chính - Tiền tệ,3
KT330,Thuế,3
KT104,Marketing căn bản,3
KT103,Quản trị học,3
KT315,Kế toán ngân sách,3
KT340,Kế toán quản trị 2,2
KT342,Kế toán tài chính 2,3
KT128,Kế toán tài chính 3,3
KT373,Kế toán hành chính sự nghiệp,3
KT374,Kế toán ngân hàng,3
KT477,Tổ chức thực hiện công tác kế toán,3
KT260,Ứng dụng phần mềm trong kế toán,3
KT275,Anh văn chuyên ngành Tài chính - Kế toán,3
KT222,Phân tích báo cáo tài chính,2
KT308,Quản trị tài chính,3
KT129,Kiến tập ngành Kế toán,2
KT375,Kế toán và khai báo thuế,2
KT343,Kế toán quốc tế,3
KT198,Chuẩn mực kế toán quốc tế,3
KT454,Kế toán hợp nhất kinh doanh,2
KT377,Kiểm toán 2,3
KT393,Phân tích hoạt động kinh doanh,3
KT329,Thị trường chứng khoán,3
KT460,Nghiệp vụ ngân hàng doanh nghiệp,3
KT470,Tài chính công,3
KT371,Hệ thống thông tin kế toán 2,2
KT451,Luận văn tốt nghiệp kế toán,10
KT298,Tiểu luận tốt nghiệp kế toán,4
KT113,Kinh tế lượng,3
KT251,Kiểm toán Nhà nước,3
KT372,Kế toán chi phí,2
KT404,Hệ thống kiểm soát nội bộ,2
KT464,Phân tích báo cáo tài chính khu vực công,2
